Trials,Switch_Win_Percentage,Stay_Win_Percentage
233,66.5236052,33.9055794
234,62.8205128,31.1965812
235,68.9361702,34.4680851
236,69.4915254,30.9322034
237,63.7130802,29.9578059
238,68.487395,31.092437
239,71.5481172,34.3096234
240,72.9166667,33.75
241,63.4854772,36.5145228
242,67.768595,32.231405
243,58.8477366,35.8024691
244,67.2131148,38.1147541
245,64.0816327,36.3265306
246,64.2276423,35.7723577
247,64.3724696,32.7935223
248,68.1451613,32.6612903
249,68.2730924,34.939759
250,68,31.2
251,63.3466135,33.4661355
252,70.2380952,32.1428571
253,71.9367589,35.5731225
254,62.5984252,35.4330709
255,70.9803922,32.1568627
256,62.890625,37.5
257,63.0350195,35.0194553
258,63.9534884,32.9457364
259,69.1119691,30.1158301
260,68.0769231,32.3076923
261,68.1992337,31.8007663
262,66.7938931,30.9160305
263,61.9771863,34.6007605
264,65.530303,33.3333333
265,66.0377358,32.0754717
266,68.0451128,36.0902256
267,61.0486891,33.3333333
268,67.9104478,36.9402985
269,68.7732342,32.3420074
270,63.3333333,31.4814815
271,63.4686347,38.0073801
272,65.8088235,30.8823529
273,64.4688645,33.6996337
274,72.6277372,31.0218978
275,65.8181818,30.5454545
276,70.2898551,31.884058
277,62.8158845,26.7148014
278,67.9856115,35.2517986
279,64.1577061,31.1827957
280,68.9285714,37.8571429
281,66.5480427,35.9430605
282,60.6382979,35.8156028
283,67.844523,32.8621908
284,63.3802817,33.8028169
285,68.0701754,36.8421053
286,67.1328671,30.0699301
287,73.8675958,34.4947735
288,66.6666667,38.1944444
289,68.5121107,32.1799308
290,68.6206897,33.7931034
291,67.6975945,31.6151203
292,70.5479452,36.3013699
293,65.5290102,36.8600683
294,68.0272109,33.6734694
295,69.8305085,34.2372881
296,66.8918919,32.7702703
297,70.7070707,34.006734
298,66.442953,35.2348993
299,71.5719064,29.09699
300,68.6666667,31.6666667
301,62.7906977,34.8837209
302,63.9072848,33.1125828
303,63.6963696,34.6534653
304,68.4210526,37.1710526
305,68.1967213,34.7540984
306,65.3594771,39.2156863
307,63.8436482,30.2931596
308,69.8051948,33.7662338
309,64.7249191,35.9223301
310,64.1935484,28.7096774
311,69.4533762,37.9421222
312,68.5897436,35.2564103
313,62.6198083,31.9488818
314,67.1974522,33.4394904
315,66.6666667,33.6507937
316,69.6202532,30.6962025
317,64.3533123,33.1230284
318,67.6100629,31.1320755
319,70.846395,25.7053292
320,65.3125,31.875
321,69.470405,35.8255452
322,66.1490683,37.2670807
323,65.6346749,29.7213622
324,70.0617284,28.7037037
325,66.4615385,36
326,71.7791411,31.9018405
327,67.8899083,31.8042813
328,68.902439,33.5365854
329,67.4772036,32.5227964
330,60,28.1818182
331,63.7462236,29.9093656
332,70.1807229,33.4337349
333,68.1681682,31.8318318
334,66.4670659,33.8323353
335,67.1641791,34.3283582
336,68.452381,30.3571429
337,68.5459941,29.3768546
338,64.4970414,31.6568047
339,71.3864307,32.7433628
340,65.8823529,30.5882353
341,68.0351906,36.3636364
342,67.5438596,35.9649123
343,67.0553936,32.9446064
344,62.2093023,34.0116279
345,65.2173913,37.9710145
346,64.4508671,31.7919075
347,66.8587896,36.8876081
348,68.3908046,32.183908
349,67.9083095,31.5186246
350,64,32.5714286
351,64.957265,34.1880342
352,66.7613636,34.9431818
353,70.5382436,32.2946176
354,70.6214689,36.7231638
355,64.5070423,37.4647887
356,72.752809,31.4606742
357,66.1064426,36.1344538
358,68.4357542,32.122905
359,66.0167131,33.1476323
360,65.5555556,38.0555556
361,68.1440443,34.6260388
362,66.8508287,30.3867403
363,66.9421488,34.1597796
364,67.8571429,24.7252747
365,66.3013699,34.5205479
366,62.568306,30.3278689
367,66.7574932,30.2452316
368,63.0434783,32.3369565
369,66.395664,34.9593496
370,69.4594595,30.2702703
371,69.541779,35.309973
372,63.7096774,29.8387097
373,66.7560322,30.5630027
374,67.3796791,34.4919786
375,66.6666667,35.7333333
376,63.0319149,36.7021277
377,69.7612732,33.1564987
378,65.3439153,37.3015873
379,64.9076517,30.8707124
380,65.7894737,30.2631579
381,62.4671916,31.7585302
382,69.895288,36.9109948
383,67.3629243,37.5979112
384,66.9270833,31.5104167
385,62.0779221,32.987013
386,67.6165803,30.8290155
387,67.4418605,30.749354
388,69.3298969,35.3092784
389,67.6092545,33.1619537
390,61.7948718,34.6153846
391,65.4731458,34.2710997
392,69.3877551,31.377551
393,62.3409669,29.0076336
394,67.0050761,36.2944162
395,69.6202532,36.2025316
396,69.1919192,33.8383838
397,63.9798489,31.7380353
398,67.0854271,31.4070352
399,65.914787,35.3383459
400,69.75,31.75
401,63.5910224,31.4214464
402,63.681592,31.3432836
403,67.7419355,31.7617866
404,68.0693069,33.9108911
405,70.3703704,30.8641975
406,61.3300493,32.7586207
407,67.3218673,31.4496314
408,68.3823529,33.8235294
409,65.5256724,34.4743276
410,68.5365854,35.6097561
411,68.3698297,29.9270073
412,68.2038835,33.0097087
413,65.3753027,33.6561743
414,64.9758454,33.3333333
415,67.7108434,33.4939759
416,66.8269231,32.4519231
417,68.1055156,33.0935252
418,68.8995215,34.9282297
419,65.6324582,34.3675418
420,67.6190476,31.6666667
421,67.9334917,34.9168646
422,67.535545,32.7014218
423,62.1749409,31.678487
424,67.4528302,32.0754717
425,68.7058824,33.8823529
426,68.5446009,34.9765258
427,70.9601874,33.4894614
428,64.4859813,35.7476636
429,67.3659674,34.2657343
430,63.7209302,32.5581395
431,67.9814385,29.6983759
432,65.5092593,34.2592593
433,67.4364896,33.0254042
434,68.6635945,29.2626728
435,68.5057471,28.9655172
436,68.8073394,33.9449541
437,64.9885584,33.180778
438,68.4931507,34.0182648
439,69.7038724,31.4350797
440,65.9090909,33.8636364
441,65.3061224,32.4263039
442,67.4208145,33.2579186
443,69.9774266,32.2799097
444,67.7927928,30.8558559
445,64.2696629,35.9550562
446,66.8161435,32.9596413
447,68.2326622,30.4250559
448,64.7321429,28.7946429
449,66.1469933,33.6302895
450,64.2222222,34.2222222
451,68.2926829,31.4855876
452,64.8230088,32.9646018
453,67.1081678,35.5408389
454,69.8237885,35.4625551
455,65.9340659,30.3296703
456,66.6666667,32.4561404
457,65.8643326,30.6345733
458,65.5021834,34.4978166
459,65.577342,34.6405229
460,70.8695652,32.3913043
461,67.2451193,31.4533623
462,67.0995671,35.2813853
463,66.0907127,33.6933045
464,66.5948276,36.8534483
465,68.3870968,33.5483871
466,63.0901288,33.4763948
467,71.3062099,32.7623126
468,66.6666667,32.9059829
469,66.7377399,32.8358209
470,67.6595745,34.893617
471,62.8450106,35.0318471
472,66.5254237,34.3220339
473,66.384778,33.192389
474,63.9240506,30.1687764
475,68,32
476,69.3277311,33.1932773
477,61.8448637,33.5429769
478,65.2719665,34.9372385
479,67.8496868,33.1941545
480,68.125,33.3333333
481,71.1018711,32.8482328
482,70.1244813,30.2904564
483,67.0807453,33.5403727
484,63.4297521,32.4380165
485,69.0721649,33.6082474
486,64.8148148,33.9506173
487,66.7351129,29.9794661
488,68.2377049,34.6311475
489,63.394683,33.7423313
490,63.6734694,34.4897959
491,68.4317719,34.8268839
492,69.9186992,36.7886179
493,68.356998,31.0344828
494,68.0161943,31.5789474
495,65.6565657,31.9191919
496,69.7580645,32.8629032
497,67.4044266,32.5955734
